"Gene","Base Mean","Log2FC","SE","Adjusted P-value"
"SOD2",10449.68,1.533,0.069,"2.538e-13"
"SBNO2",2430.26,1.479,0.09,"9.624e-07"
"JUNB",2986.17,1.401,0.106,"1.240e-03"
"ABCC1",2347.24,1.205,0.053,"7.820e-04"
"SRXN1",1091.4,1.204,0.067,"1.456e-02"
"HMOX2",1497.41,0.974,0.055,"1.000e+00"
"ATOX1",960.46,0.854,0.057,"1.000e+00"
"G6PD",2288.68,0.749,0.082,"1.000e+00"
"MPO",6.05,0.724,0.167,"1.000e+00"
"TXNRD1",1374.01,0.721,0.045,"1.000e+00"
"IPCEF1",84.11,0.602,0.071,"1.000e+00"
"TXN",4140.75,0.57,0.061,"1.000e+00"
"PRDX1",5749.05,0.501,0.039,"1.000e+00"
"NDUFB4",1827.32,0.481,0.048,"1.000e+00"
"OXSR1",1318.98,0.449,0.04,"1.000e+00"
"PFKP",2264.37,0.38,0.063,"1.000e+00"
"GLRX2",110.51,0.362,0.067,"1.000e+00"
"NDUFA6",1693.53,0.33,0.052,"1.000e+00"
"LAMTOR5",1053.72,0.32,0.037,"1.000e+00"
"PDLIM1",3972.51,0.254,0.049,"1.000e+00"
"NDUFS2",2305.53,0.171,0.037,"1.000e+00"
"PRDX6",3535.55,0.171,0.037,"1.000e+00"
